"MMT","MY","MileGrpATC","b0","b"
"Acura MDX","1","1","-0.00148088265700454","-0.364949087381677"
"Acura MDX","1","2","-0.00171338661853674","-0.372410718931497"
"Acura MDX","1","3","-0.00141018150863163","-0.0707265458736789"
"Acura MDX","2","1","0.000171220579880845","-0.37013383745988"
"Acura MDX","2","2","-0.00221607869297977","-0.369636857348143"
"Acura MDX","2","3","-0.0125046303225861","-0.0502047455094148"
"Acura MDX","3","1","-0.000255219910598378","-0.362772878635352"
"Acura MDX","3","2","-0.000462927248041525","-0.361028033915867"
"Acura MDX","3","3","-0.00483277250820818","-0.0450661546898418"
"Acura RDX","1","1","-0.00200306456605294","-0.362677163692334"
"Acura RDX","1","2","0.00115612164933169","-0.0883709695712113"
"Acura RDX","1","3","0.00107040877387426","-0.366506594887885"
"Acura RDX","2","1","-0.000895873197833024","-0.366728720910358"
"Acura RDX","2","2","-0.000253269571885614","-0.372129357676945"
"Acura RDX","2","3","0.00123849120850979","-0.0937957494874669"
"Acura RDX","3","1","-0.00072101284351763","-0.318988192193706"
"Acura RDX","3","2","0.00632141881824458","-0.0622386652688012"
"Acura RDX","3","3","0.00625657397757056","-0.0600419426921616"
"Acura TLX","1","1","0.00140189310971509","-0.545987138311262"
"Acura TLX","1","2","-0.000935923277813019","-0.547359664339054"
"Acura TLX","1","3","-0.00175129220614569","-0.549198288887824"
"Acura TLX","2","1","-0.000674735030768896","-0.546741316649171"
"Acura TLX","2","2","-0.00266373584433465","-0.546596660345294"
"Acura TLX","2","3","-0.00256193968585651","-0.551357803637439"
"Acura TLX","3","1","-0.000321798859465938","-0.550282900258371"
"Acura TLX","3","2","-0.00180469038711539","-0.551177575175323"
"Acura TLX","3","3","-0.0010424158998561","-0.546101997884225"
"Alfa Romeo Giulia","1","1","-0.0126067744620223","-2.47678806303548"
"Alfa Romeo Giulia","1","2","-0.0478389248249123","-2.46902479074424"
"Alfa Romeo Giulia","1","3","-0.0492534238819179","-2.38946903698763"
"Alfa Romeo Giulia","2","1","-0.009225736703613","-2.36531181030683"
"Alfa Romeo Giulia","2","2","-0.0681829482217749","-2.29269776671155"
"Alfa Romeo Giulia","2","3","0.00782878168470761","-2.28441854726429"
"Alfa Romeo Giulia","3","1","-0.0717639640836025","-2.36175449959048"
"Alfa Romeo Giulia","3","2","-0.0325654506517622","-2.29353193828149"
"Alfa Romeo Stelvio","1","1","-0.0492438202150602","-1.60020731182848"
"Alfa Romeo Stelvio","1","2","0.527766549739515","-0.0975491712157804"
"Alfa Romeo Stelvio","1","3","0.0462186336835268","-1.60244502172977"
"Alfa Romeo Stelvio","2","1","-0.0467615934861792","-2.01038088669178"
"Alfa Romeo Stelvio","2","2","-0.00567239986559627","-2.08058618999579"
"Alfa Romeo Stelvio","2","3","0.0491549637794007","-2.07310140150692"
"Alfa Romeo Stelvio","3","1","-0.0235432285854093","-1.93993288223546"
