"","MakeName","MMT","MY","cnt","q19_2_mean","y_pred_mean","%_deviation","sample_num","run"
"1","Nissan","Nissan Rogue","2018",292,0.0103,0.0108,4.8,600,1
"2","Nissan","Nissan Rogue","2019",224,0.0045,0.006,35.4,600,1
"3","Nissan","Nissan Rogue","2020",84,0,0.0066,Inf,600,1
"4","Nissan","Nissan Rogue","2018",287,0.0105,0.0085,-19.1,600,2
"5","Nissan","Nissan Rogue","2019",222,0.0045,0.0083,83.7,600,2
"6","Nissan","Nissan Rogue","2020",91,0,0.0071,Inf,600,2
"7","Nissan","Nissan Rogue","2018",295,0.0136,0.011,-18.9,600,3
"8","Nissan","Nissan Rogue","2019",220,0.0045,0.0086,90.1,600,3
"9","Nissan","Nissan Rogue","2020",85,0,0.0082,Inf,600,3
"10","Nissan","Nissan Rogue","2018",273,0.0147,0.0112,-23.5,600,4
"11","Nissan","Nissan Rogue","2019",237,0.0042,0.0065,53.5,600,4
"12","Nissan","Nissan Rogue","2020",90,0,0.0054,Inf,600,4
"13","Nissan","Nissan Rogue","2018",292,0.0137,0.0093,-32.3,600,5
"14","Nissan","Nissan Rogue","2019",217,0,0.0084,Inf,600,5
"15","Nissan","Nissan Rogue","2020",91,0,0.006,Inf,600,5
